 frequency    ntf_gmc_fd_db ntf_ref_se_db
 8.89666e+01 -1.21507e+02 -1.21289e+02 
 9.10440e+01 -1.20709e+02 -1.20487e+02 
 9.31699e+01 -1.19910e+02 -1.19685e+02 
 9.53454e+01 -1.19112e+02 -1.18883e+02 
 9.75717e+01 -1.18313e+02 -1.18081e+02 
 9.98501e+01 -1.17514e+02 -1.17279e+02 
 1.02182e+02 -1.16715e+02 -1.16477e+02 
 1.04568e+02 -1.15916e+02 -1.15675e+02 
 1.07009e+02 -1.15116e+02 -1.14873e+02 
 1.09508e+02 -1.14317e+02 -1.14071e+02 
 1.12065e+02 -1.13517e+02 -1.13270e+02 
 1.14682e+02 -1.12718e+02 -1.12468e+02 
 1.17360e+02 -1.11918e+02 -1.11666e+02 
 1.20100e+02 -1.11118e+02 -1.10864e+02 
 1.22904e+02 -1.10318e+02 -1.10062e+02 
 1.25774e+02 -1.09518e+02 -1.09260e+02 
 1.28711e+02 -1.08718e+02 -1.08458e+02 
 1.31716e+02 -1.07918e+02 -1.07656e+02 
 1.34792e+02 -1.07118e+02 -1.06854e+02 
 1.37940e+02 -1.06318e+02 -1.06052e+02 
 1.41160e+02 -1.05517e+02 -1.05250e+02 
 1.44457e+02 -1.04717e+02 -1.04448e+02 
 1.47830e+02 -1.03916e+02 -1.03646e+02 
 1.51282e+02 -1.03116e+02 -1.02844e+02 
 1.54814e+02 -1.02315e+02 -1.02043e+02 
 1.58429e+02 -1.01515e+02 -1.01241e+02 
 1.62128e+02 -1.00714e+02 -1.00439e+02 
 1.65914e+02 -9.99131e+01 -9.96368e+01 
 1.69788e+02 -9.91124e+01 -9.88348e+01 
 1.73753e+02 -9.83116e+01 -9.80329e+01 
 1.77810e+02 -9.75107e+01 -9.72310e+01 
 1.81962e+02 -9.67098e+01 -9.64291e+01 
 1.86211e+02 -9.59089e+01 -9.56272e+01 
 1.90559e+02 -9.51080e+01 -9.48252e+01 
 1.95008e+02 -9.43070e+01 -9.40233e+01 
 1.99562e+02 -9.35060e+01 -9.32214e+01 
 2.04222e+02 -9.27049e+01 -9.24195e+01 
 2.08990e+02 -9.19039e+01 -9.16176e+01 
 2.13870e+02 -9.11028e+01 -9.08157e+01 
 2.18864e+02 -9.03017e+01 -9.00138e+01 
 2.23975e+02 -8.95006e+01 -8.92119e+01 
 2.29205e+02 -8.86995e+01 -8.84100e+01 
 2.34557e+02 -8.78984e+01 -8.76081e+01 
 2.40034e+02 -8.70972e+01 -8.68062e+01 
 2.45638e+02 -8.62961e+01 -8.60043e+01 
 2.51374e+02 -8.54949e+01 -8.52024e+01 
 2.57244e+02 -8.46937e+01 -8.44005e+01 
 2.63251e+02 -8.38925e+01 -8.35986e+01 
 2.69398e+02 -8.30913e+01 -8.27967e+01 
 2.75688e+02 -8.22902e+01 -8.19949e+01 
 2.82125e+02 -8.14890e+01 -8.11930e+01 
 2.88713e+02 -8.06878e+01 -8.03911e+01 
 2.95455e+02 -7.98866e+01 -7.95892e+01 
 3.02354e+02 -7.90854e+01 -7.87874e+01 
 3.09414e+02 -7.82842e+01 -7.79855e+01 
 3.16639e+02 -7.74831e+01 -7.71836e+01 
 3.24032e+02 -7.66819e+01 -7.63818e+01 
 3.31598e+02 -7.58808e+01 -7.55799e+01 
 3.39341e+02 -7.50796e+01 -7.47781e+01 
 3.47265e+02 -7.42785e+01 -7.39762e+01 
 3.55374e+02 -7.34774e+01 -7.31744e+01 
 3.63672e+02 -7.26763e+01 -7.23726e+01 
 3.72164e+02 -7.18752e+01 -7.15707e+01 
 3.80854e+02 -7.10742e+01 -7.07689e+01 
 3.89747e+02 -7.02732e+01 -6.99671e+01 
 3.98848e+02 -6.94722e+01 -6.91653e+01 
 4.08161e+02 -6.86712e+01 -6.83635e+01 
 4.17691e+02 -6.78702e+01 -6.75617e+01 
 4.27445e+02 -6.70693e+01 -6.67599e+01 
 4.37426e+02 -6.62684e+01 -6.59581e+01 
 4.47640e+02 -6.54676e+01 -6.51563e+01 
 4.58092e+02 -6.46667e+01 -6.43545e+01 
 4.68789e+02 -6.38660e+01 -6.35528e+01 
 4.79735e+02 -6.30652e+01 -6.27510e+01 
 4.90937e+02 -6.22645e+01 -6.19493e+01 
 5.02400e+02 -6.14639e+01 -6.11475e+01 
 5.14132e+02 -6.06633e+01 -6.03458e+01 
 5.26137e+02 -5.98627e+01 -5.95441e+01 
 5.38422e+02 -5.90622e+01 -5.87423e+01 
 5.50994e+02 -5.82618e+01 -5.79406e+01 
 5.63860e+02 -5.74614e+01 -5.71389e+01 
 5.77027e+02 -5.66610e+01 -5.63373e+01 
 5.90500e+02 -5.58608e+01 -5.55356e+01 
 6.04289e+02 -5.50606e+01 -5.47339e+01 
 6.18399e+02 -5.42604e+01 -5.39323e+01 
 6.32839e+02 -5.34603e+01 -5.31306e+01 
 6.47616e+02 -5.26604e+01 -5.23290e+01 
 6.62738e+02 -5.18604e+01 -5.15274e+01 
 6.78213e+02 -5.10606e+01 -5.07258e+01 
 6.94049e+02 -5.02608e+01 -4.99242e+01 
 7.10256e+02 -4.94612e+01 -4.91226e+01 
 7.26840e+02 -4.86616e+01 -4.83210e+01 
 7.43812e+02 -4.78621e+01 -4.75194e+01 
 7.61180e+02 -4.70627e+01 -4.67179e+01 
 7.78954e+02 -4.62634e+01 -4.59163e+01 
 7.97143e+02 -4.54642e+01 -4.51148e+01 
 8.15756e+02 -4.46651e+01 -4.43132e+01 
 8.34805e+02 -4.38661e+01 -4.35117e+01 
 8.54297e+02 -4.30672e+01 -4.27102e+01 
 8.74246e+02 -4.22684e+01 -4.19087e+01 
 8.94659e+02 -4.14697e+01 -4.11072e+01 
 9.15550e+02 -4.06711e+01 -4.03057e+01 
 9.36928e+02 -3.98727e+01 -3.95041e+01 
 9.58806e+02 -3.90743e+01 -3.87026e+01 
 9.81194e+02 -3.82761e+01 -3.79011e+01 
 1.00411e+03 -3.74780e+01 -3.70995e+01 
 1.02755e+03 -3.66800e+01 -3.62980e+01 
 1.05155e+03 -3.58821e+01 -3.54964e+01 
 1.07610e+03 -3.50843e+01 -3.46948e+01 
 1.10123e+03 -3.42867e+01 -3.38931e+01 
 1.12694e+03 -3.34891e+01 -3.30914e+01 
 1.15325e+03 -3.26916e+01 -3.22897e+01 
